Column1,asin,ISBN10,title,author,genre,subgenre,currency,final_price,initial_price,domain,format_1_type,format_1_price,format_2_type,format_2_price,format_3_type,format_3_price,rating,reviews_count,overall_best_seller_rank,seller_id,seller_name,timestamp
105,0525633677,0525633677,Becoming,Michelle Obama,History,Americas,USD,23.04,45,www.amazon.com,Kindle ,12.99,Audiobook ,0,Hardcover ,11.89,4.8,117478,118772,A2GXKSHSDXFUPD,GoodwillVSBGoodwillVSBAmazon Warehouse,12/21/2021
106,0425284700,0425284700,Before We Were Yours,Lisa Wingate,Literature & Fiction,Fiction,USD,11.3,17,www.amazon.com,Kindle ,12.99,Audiobook ,0,Hardcover ,13.21,4.7,36118,3585,ATVPDKIKX0DER,AJ's Pop-up Shop,12/21/2021
107,1250132363,1250132363,Behind Closed Doors,B.A. Paris,Literature & Fiction,Fiction,USD,8.8,16.99,www.amazon.com,Kindle ,0,Audiobook ,0,Hardcover ,29.83,4.3,26475,4568,ATVPDKIKX0DER,Vivé Liber Books LLC,12/21/2021
108,0805095152,9780805095159,Being Mortal,Atul Gawande,Medical Books,Administration & Medicine Economics,USD,14.1,28,www.amazon.com,Kindle ,0,Audiobook ,0,Paperback ,14.59,4.8,16305,12790,ATVPDKIKX0DER,The BAP Goods,12/21/2021
109,1503902374,1503902374,Beneath A Scarlet Sky,Mark Sullivan,Literature & Fiction,Fiction,USD,12.99,27.95,www.amazon.com,Kindle ,0,Audiobook ,0,Paperback ,13.46,4.7,55941,3120,ATVPDKIKX0DER,-OnTimeBooks-,12/21/2021
110,B08QQ1X9VJ,,Beneath Devil S Bridge,"Lauren Ezzo (Narrator), Laural Merlington (Narrator), Loreth Anne White (Author), Brilliance Audio (Publisher) & 1 more","Mystery, Thriller & Suspense",Mystery,USD,9.99,NA,www.amazon.com,Kindle ,0,Paperback ,5.99,Audio CD ,14.99,4.4,22031,1815,,Amazon,12/21/2021
111,0593452739,0593452739,Better Off Dead,Lee Child,Literature & Fiction,Action & Adventure,USD,36.14,45,www.amazon.com,Kindle ,14.99,Audiobook ,0,Hardcover ,17.38,4.1,17655,72270,A1KY5HRJRH6YF1,GrandEagleRetailGrandEagleRetailGoodwillVSB,12/21/2021
112,1984818503,1984818503,Better Off Dead,Lee Child,Literature & Fiction,Action & Adventure,USD,17.38,28.99,www.amazon.com,Kindle ,14.99,Audiobook ,0,Paperback ,20.54,4.1,17655,646,ATVPDKIKX0DER,California Books 1983,12/21/2021
113,0812993543,0812993543,Between The World And Me,Ta-Nehisi Coates,Politics & Social Sciences,Sociology,USD,12.92,26,www.amazon.com,Kindle ,9.99,Audiobook ,0,Paperback ,15.8,4.7,18421,2631,ATVPDKIKX0DER,Vivé Liber Books LLC,12/21/2021
114,0399167064,0399167064,Big Little Lies,Liane Moriarty,"Mystery, Thriller & Suspense",Thrillers & Suspense,USD,14.43,26.95,www.amazon.com,Kindle ,9.99,Audiobook ,0,Paperback ,9.44,4.6,28283,56291,ATVPDKIKX0DER,saveherenow,12/21/2021
115,1594634718,1594634718,Big Magic,Elizabeth Gilbert,Business & Money,Business Culture,USD,14.35,26,www.amazon.com,Kindle ,12.99,Audiobook ,0,Paperback ,9.38,4.6,10152,62602,ATVPDKIKX0DER,DKA Enterprises,12/21/2021
116,1938895304,1938895304,Bigger Leaner Stronger,Michael Matthews,"Health, Fitness & Dieting",Exercise & Fitness,USD,16.99,19.99,www.amazon.com,Kindle ,4,Audiobook ,0,,NA,4.6,10392,2355,ATVPDKIKX0DER,Dio Evolutions,12/21/2021
117,1982173610,1982173610,Billy Summers,Stephen King,Literature & Fiction,Action & Adventure,USD,15,30,www.amazon.com,Kindle ,15.99,Audiobook ,0,Paperback ,29.99,4.6,26466,118,ATVPDKIKX0DER,TLF Company,12/21/2021
118,1982133279,1982133279,Blackout,Candace Owens,Politics & Social Sciences,Social Sciences,USD,19.6,28,www.amazon.com,Kindle ,12.99,Audiobook ,0,Audio CD ,21.33,4.9,20268,2987,ATVPDKIKX0DER,Momma's Media,12/21/2021
119,1630061387,1630061387,Blitz,David Horowitz,Politics & Social Sciences,Politics & Government,USD,11.15,27.99,www.amazon.com,Kindle ,0.99,Audiobook ,0,Audio CD ,22.63,4.7,10917,45894,ATVPDKIKX0DER,EmeraldGems,12/21/2021
120,031602919X,031602919X,Blood Of Elves,Andrzej Sapkowski,Literature & Fiction,Short Stories & Anthologies,USD,6.74,8.99,www.amazon.com,Kindle ,7.99,Audiobook ,0,Paperback ,11.99,4.6,10818,3743,ATVPDKIKX0DER,"Goodwill Retail Services, Inc.",12/21/2021
121,B07ZQFT4B1,,Bloodline,Jess Lourey,"Mystery, Thriller & Suspense",Thrillers & Suspense,USD,9.99,NA,www.amazon.com,Audiobook Audiobook ,0,Paperback ,7.59,Audio CD ,14.99,4.2,17766,1117,,Amazon,12/21/2021
122,170201939X,170201939X,Bloody Alphabet,by Brian Berry (Author),"Crafts, Hobbies & Home",Crafts & Hobbies,USD,13.99,NA,www.amazon.com,,NA,,NA,,NA,4.7,11335,1679,ATVPDKIKX0DER,Amazon,12/21/2021
123,039959356X,039959356X,Blue Moon,Lee Child,Literature & Fiction,Action & Adventure,USD,7.48,9.99,www.amazon.com,Kindle ,9.99,Audiobook ,0,Hardcover ,12.8,4.4,28278,10588,ATVPDKIKX0DER,Amazon,12/21/2021
124,0439845009,0439845009,Bob Books Set 1,Bobby Lynn Maslen,Children's Books,Fiction,USD,10.19,17.99,www.amazon.com,Kindle ,8.99,,NA,,NA,4.8,16234,370,ATVPDKIKX0DER,Goodwill of NNE,12/21/2021
125,0762490411,0762490411,Bob Ross Bobblehead,Bob Ross,Arts & Photography,History & Criticism,USD,6.85,12.95,www.amazon.com,,NA,,NA,,NA,4.7,15696,277,ATVPDKIKX0DER,Amazon,12/21/2021
126,0399588175,0399588175,Born A Crime,Trevor Noah,Biographies & Memoirs,Arts & Literature,USD,13.98,28,www.amazon.com,Kindle ,9.99,Audiobook ,0,Paperback ,10.7,4.8,39852,2877,ATVPDKIKX0DER,Desert Pueblo Books,12/21/2021
127,0310247454,9780310247456,Boundaries,Henry Cloud,Christian Books & Bibles,Christian Living,USD,24.37,NA,www.amazon.com,Kindle ,13.99,Audiobook ,0,Hardcover ,21.95,4.7,18440,85664,A10PKMS7VWJCNG,desert18desert18HarryBat,12/21/2021
128,0310350239,0310350239,Boundaries Updated And Expanded Edition,Henry Cloud,Self-Help,Relationships,USD,21.95,26.99,www.amazon.com,Kindle ,13.99,Audiobook ,0,Paperback ,13.23,4.7,18440,18796,AD4OCGA82CJ4V,Lower-Christian-PricesLower-Christian-Prices,12/21/2021
129,0761149163,0761149163,Brain Quest Workbook,by Janet A. Meyer (Author),Children's Books,Education & Reference,USD,6.8,12.95,www.amazon.com,,NA,,NA,,NA,4.8,10816,2793,ATVPDKIKX0DER,goodwill_ind_of_mid_tn,12/21/2021
130,0060850523,0060850523,Brave New World,Aldous Huxley,Literature & Fiction,United States,USD,11.55,15.99,www.amazon.com,Kindle ,12.49,Audiobook ,0,Hardcover ,17.89,4.6,18262,1727,ATVPDKIKX0DER,gatecitybooks,12/21/2021
131,031606792X,031606792X,Breaking Dawn,Stephenie Meyer,Teen & Young Adult,Science Fiction & Fantasy,USD,17.03,22.99,www.amazon.com,Kindle ,9.99,Audiobook ,0,Paperback ,13.99,4.7,14658,31696,ATVPDKIKX0DER,VMG Books & Media,12/21/2021
132,0735213615,0735213615,Breath,James Nestor,Science & Math,Biological Sciences,USD,20.76,28,www.amazon.com,Kindle ,14.99,Audiobook ,0,Paperback ,15.79,4.7,14703,615,ATVPDKIKX0DER,Whiteforest inc.,12/21/2021
133,0063078902,0063078902,Bridgerton Tv Tie In,Julia Quinn,Literature & Fiction,Women's Fiction,USD,11.54,16.99,www.amazon.com,Kindle ,7.99,Audiobook ,0,Hardcover ,20.49,4.6,32433,3807,ATVPDKIKX0DER,gatecitybooks,12/21/2021
134,0312498586,9780312498580,Bright Baby Touch Feel Baby Animals,Roger Priddy,Children's Books,Early Learning,USD,4.7,NA,www.amazon.com,Kindle ,0,,NA,,NA,4.8,10049,425,ATVPDKIKX0DER,Amazon,12/21/2021
135,0805017445,0805017445,Brown Bear Brown Bear What Do You See,"by Bill Martin Jr. (Author), Eric Carle (Author)",Children's Books,Early Learning,USD,7.69,19.99,www.amazon.com,Kindle ,0,Audiobook ,0,Paperback ,14,4.9,36073,29391,ATVPDKIKX0DER,Murfbooks,12/21/2021
136,0805092447,0805092447,Brown Bear Brown Bear What Do You See My First Reader,"by Bill Martin Jr. (Author), Eric Carle (Illustrator)",Children's Books,Fiction,USD,4.99,8.99,www.amazon.com,Kindle ,0,Audiobook ,0,Paperback ,14,4.9,36073,2008,ATVPDKIKX0DER,Amazon,12/21/2021
137,0593329910,0593329910,Burn After Writing,Sharon Jones,Reference,"Writing, Research & Publishing Guides",USD,6.99,14,www.amazon.com,Spiral-bound ,19.99,,NA,,NA,4.6,19131,153,ATVPDKIKX0DER,Break Time Books,12/21/2021
138,1440579776,1440579776,Bushcraft 101,Dave Canterbury,Reference,Encyclopedias & Subject Guides,USD,10.39,16.99,www.amazon.com,Kindle ,0,Audiobook ,0,Spiral-bound ,22,4.7,17995,417,ATVPDKIKX0DER,Amazon,12/21/2021
139,031242678X,031242678X,Call Me By Your Name,André Aciman,LGBTQ+ Books,Fiction,USD,10.89,17,www.amazon.com,Kindle ,0,Audiobook ,0,Hardcover ,21.08,4.7,16661,140981,ATVPDKIKX0DER,Nextgenbooks,12/21/2021
140,1522864741,1522864741,Calm The F Ck Down,Sasha O'Hara,"Crafts, Hobbies & Home",Crafts & Hobbies,USD,4.99,NA,www.amazon.com,,NA,,NA,,NA,4.6,20010,1024,ATVPDKIKX0DER,Amazon,12/21/2021
141,1524797146,9781524797140,Camino Island,John Grisham,"Mystery, Thriller & Suspense",Mystery,USD,10.13,17,www.amazon.com,Kindle ,9.99,Audiobook ,0,Hardcover ,18.36,4.3,20749,16486,ATVPDKIKX0DER,-OnTimeBooks-,12/21/2021
142,059315777X,059315777X,Camino Winds,John Grisham,"Mystery, Thriller & Suspense",Thrillers & Suspense,USD,7.48,9.99,www.amazon.com,Kindle ,9.99,Audiobook ,0,Hardcover ,12.95,4.4,26661,9011,ATVPDKIKX0DER,-OnTimeBooks-,12/21/2021
143,1544512279,1544512279,Can T Hurt Me,David Goggins,Self-Help,Motivational,USD,17.99,19.99,www.amazon.com,Kindle ,8.99,Audiobook ,0,Hardcover ,19.08,4.8,45758,224,ATVPDKIKX0DER,Amazon,12/21/2021
144,B00OKXCIZI,,Captivated By You,"Jill Redfield (Narrator), Jeremy York (Narrator), Sylvia Day (Author), Brilliance Audio (Publisher) & 1 more",Literature & Fiction,Women's Fiction,USD,9.99,NA,www.amazon.com,Kindle ,11.99,Library Binding ,NA,Paperback ,12.8,4.4,11041,8603,,Amazon,12/21/2021
145,B0106E2CO6,,Career Of Evil,Robert Galbraith,"Mystery, Thriller & Suspense",Thrillers & Suspense,USD,9.99,NA,www.amazon.com,Audiobook Audiobook ,0,Hardcover ,19.42,Paperback ,11.99,4.5,11893,21601,,Amazon,12/21/2021
